time,open,high,low,close,vol,amt,oi,code
2019-09-25,22518.282811654233,22567.62893907203,22457.97087814359,22490.868296422123,5046.0,517719600.0,11664.0,CY2001
2019-09-26,22441.52216900433,22463.453781190015,22348.312817215156,22364.76152635442,3050.0,311557500.0,11448.0,CY2001
2019-09-27,22386.693138540108,22408.624750725798,21717.778966876653,22052.236052708384,9697.0,973821225.0,10680.0,CY2001
2019-09-30,22041.27024661554,22139.96250145113,21821.954124758668,21991.92411919774,5523.0,553404600.0,10851.0,CY2001
2019-10-08,21942.57799177995,22216.723144101034,21942.57799177995,22057.718955754804,3254.0,327433750.0,11542.0,CY2001
2019-10-09,22074.16766489407,22326.38120502947,22046.753149661963,22298.966689797362,6288.0,637288800.0,12029.0,CY2001
2019-10-10,22353.79572026158,22447.00507205075,22282.517980658096,22408.624750725798,5171.0,527571275.0,12615.0,CY2001
2019-10-11,22386.693138540108,22425.073459865063,22315.415398936624,22370.244429400846,3365.0,343230000.0,13064.0,CY2001
2019-10-14,22397.658944632953,22967.880861460817,22359.278623308,22803.393770068164,10186.0,1058070750.0,13475.0,CY2001
2019-10-15,22660.8382908612,22797.91086702174,22523.765714700654,22595.043454304137,6705.0,691620750.0,14026.0,CY2001
2019-10-16,22584.077648211296,22781.46215788248,22523.765714700654,22573.11184211845,6763.0,698448825.0,15106.0,CY2001
2019-10-17,22616.975066489824,22655.35538781478,22353.79572026158,22562.146036025606,8611.0,885641350.0,16040.0,CY2001
2019-10-18,22567.62893907203,22699.218612186152,22479.90249032928,22584.077648211296,5185.0,533925375.0,15678.0,CY2001
2019-10-21,22616.975066489824,22699.218612186152,22397.658944632953,22403.141847679373,8822.0,906239950.0,15988.0,CY2001
2019-10-22,22386.693138540108,22485.385393375702,22260.586368472406,22457.97087814359,5859.0,598057425.0,14872.0,CY2001
2019-10-23,22485.385393375702,22616.975066489824,22408.624750725798,22501.834102514968,7737.0,794203050.0,14758.0,CY2001
2019-10-24,22479.90249032928,22693.73570913973,22479.90249032928,22693.73570913973,6092.0,627780600.0,14107.0,CY2001
2019-10-25,22721.15022437184,22924.017637089444,22638.906678675514,22852.73989748596,8626.0,894084900.0,13839.0,CY2001
2019-10-28,22891.120218810913,23225.577304642644,22803.393770068164,23011.74408583219,12674.0,1332987950.0,14002.0,CY2001
2019-10-29,23000.77827973935,23203.645692456954,22934.983443182286,23093.98763152852,8139.0,855612375.0,13105.0,CY2001
2019-10-30,23170.748274178422,23192.679886364112,23017.226988878614,23137.850855899895,10403.0,1096216125.0,12206.0,CY2001
2019-10-31,23099.47053457494,23401.03020212814,23093.98763152852,23192.679886364112,9118.0,964456450.0,12916.0,CY2001
2019-11-01,23083.021825435677,23176.231177224847,22984.329570600083,23115.919243714205,6891.0,725450025.0,12265.0,CY2001
2019-11-04,23187.196983317688,23242.026013781906,22984.329570600083,22984.329570600083,9077.0,955354250.0,13036.0,CY2001
2019-11-05,22984.329570600083,23203.645692456954,22973.363764507238,23148.816661992736,8000.0,842600000.0,11966.0,CY2001
2019-11-06,23181.714080271267,23198.162789410533,23077.538922389253,23165.265371132,7212.0,760685700.0,11839.0,CY2001
2019-11-07,23165.265371132,23203.645692456954,22951.43215232155,23006.26118278577,8488.0,893998600.0,11101.0,CY2001
2019-11-08,23115.919243714205,23340.7182686175,22984.329570600083,23022.709891925035,8487.0,893044575.0,10544.0,CY2001
2019-11-11,22967.880861460817,23033.67569801788,22600.52635735056,22627.94087258267,8506.0,883773400.0,10459.0,CY2001
2019-11-12,22627.94087258267,22649.872484768355,22419.59055681864,22589.560551257717,7438.0,763882600.0,10221.0,CY2001
2019-11-13,22611.492163443403,22945.94924927513,22567.62893907203,22929.500540135865,5685.0,589960875.0,9925.0,CY2001
2019-11-14,22940.466346228706,23121.40214676063,22869.188606625223,23083.021825435677,7693.0,806995700.0,10266.0,CY2001
2019-11-15,23137.850855899895,23247.50891682833,22951.43215232155,23033.67569801788,9670.0,1018009250.0,9712.0,CY2001
2019-11-18,23077.538922389253,23159.78246808558,22967.880861460817,22973.363764507238,11234.0,1182378500.0,9882.0,CY2001
2019-11-19,22924.017637089444,22973.363764507238,22660.8382908612,22710.184418278997,6082.0,632071850.0,9347.0,CY2001
2019-11-20,22682.769903046887,22902.086024903754,22682.769903046887,22880.154412718068,7595.0,790069875.0,9869.0,CY2001
2019-11-21,22896.603121857333,22962.397958414396,22501.834102514968,22638.906678675514,7580.0,784340500.0,9354.0,CY2001
2019-11-22,22660.8382908612,22704.701515232573,22540.21442383992,22540.21442383992,6916.0,714249900.0,10419.0,CY2001
2019-11-25,22523.765714700654,22693.73570913973,22490.868296422123,22649.872484768355,7910.0,814334500.0,9736.0,CY2001
2019-11-26,22677.287000000466,22995.295376692928,22595.043454304137,22885.63731576449,11222.0,1167649100.0,9246.0,CY2001
2019-11-27,22858.22280053238,22934.983443182286,22759.53054569679,22808.876673114584,6222.0,647710200.0,8856.0,CY2001
2019-11-28,22819.84247920743,22918.53473404302,22655.35538781478,22693.73570913973,12132.0,1258998300.0,7320.0,CY2001
2019-11-29,22732.116030464684,22825.32538225385,22666.32119390762,22797.91086702174,9801.0,1017588825.0,3109.0,CY2001
2019-12-02,22792.42796397532,22896.603121857333,22600.52635735056,22633.42377562909,2536.0,262856400.0,1855.0,CY2001
2019-12-03,22622.457969536248,22704.701515232573,22430.556362911484,22529.248617747075,1615.0,166345000.0,1488.0,CY2001
2019-12-04,22405.697659662153,22486.27437145667,22362.723413371743,22411.06944044845,6341.0,662475975.0,5159.0,CY2005
2019-12-05,22475.530809884065,22588.33820639639,22421.813002021056,22588.33820639639,4427.0,463174875.0,5981.0,CY2005
2019-12-06,22604.453548755293,22830.06834177994,22518.505056174476,22824.69656099364,4917.0,517391325.0,6494.0,CY2005
2019-12-09,22873.04258807035,22873.04258807035,22733.376287626525,22781.72231470323,5975.0,634246250.0,7095.0,CY2005
