,PB,RU,CU,FU,AP,PP,SF,SP,ZN,J,SN,SR,TF,JD,TS,CF,A,M,RM,Y,T,HC,EG,JM,AL,AG,L,FG,V,CY,ZC,CJ,IF,TA,SA,NR,SM,I,UR,OI,CS,P,B,LU,AU,NI,RR,SS,SC,EB,IC,MA,RB,C,PG,BU,IH
SN,14.1747028721805,30.619336111781223,18.353712033816116,11.360438265822292,8.353496079212253,9.417841014963072,13.829028901234345,7.340991147266426,17.470928914964972,20.22899216770034,0.0,16.485154644114207,20.171299809787165,11.350069236292653,20.725998853951094,19.81393300365939,16.710136366212687,16.153476688227254,11.730556068919938,16.459023673327664,17.873453068034262,13.305475463180004,9.26216323865323,16.564090759203296,15.939826954349252,12.611420951885254,17.99594554607559,12.606032028317783,14.836838236762855,8.986942775232118,11.80045342608816,7.313113588685999,16.018254357180986,18.765258765201278,8.442787605550228,8.724602372649562,12.512434789277686,19.10814179623396,7.750186216689526,15.239477092218037,8.335655466108378,16.915257963014678,23.447474946218104,8.992452718046293,14.711945343562249,11.43454865562373,9.037611563147784,7.888590042108301,11.463960096871777,9.813271202463559,14.417911127288562,15.22437902202285,17.753386061350533,15.7316102408739,11.287096052623777,17.77163104216321,11.075792346977199
SR,22.0515521290271,38.27020809980886,20.351757936693843,25.08031274656891,21.247911685605906,19.384438239102014,23.839755515498975,16.74819165487457,25.44218262429486,32.756866569599154,16.460923154037236,0.0,30.3632083895627,19.385541347149857,37.46094109842648,22.817232792504047,19.471052910359834,20.651350904263428,21.057631122428443,20.359285239428882,26.698699473702376,25.93106095438472,20.402534655543192,26.783307863363298,20.4513512926396,20.204718150430605,25.19219892766695,19.917341415619763,20.48914767300919,17.240322823810736,20.204607124271632,17.511894990186406,22.505109638814158,23.465200068035536,19.17112198031469,20.207197386272156,22.663235168800075,36.771755039646095,18.900692591141155,19.941734844837004,16.312811809933873,24.19664697348258,29.924370243790037,21.77193063883401,19.89602801493718,23.002503366840315,19.059806329626596,18.72411722398654,26.47331648732016,21.32715103230475,25.47241580331169,25.12894438989448,24.444290216174277,20.2877723694104,23.820772818991692,31.317904203323483,18.481519344323328
TF,28.06018549262674,59.43792046371853,32.257361168362735,27.004476682064904,20.121157618075962,27.982800784453417,27.514184984666134,9.94744953502484,41.79970870160188,48.040198956013896,20.01248481949462,30.424844696946316,0.0,28.687524669083565,1.824563687014222,32.39590628411479,32.48309913642373,32.431854420923656,31.008083139860307,31.397488772708662,1.942548789455835,33.82985542503979,16.696898147290128,45.791906052006304,29.464352254998563,26.334187850517413,37.87056538974738,32.919247210305436,33.51391948093611,10.286491620563982,27.675100095821414,11.764341828055326,36.446030988960445,39.11991359352067,11.396973610274438,20.73384722291961,28.10877316741013,50.96630092655594,10.689809178015594,31.979252807657158,16.395074373081005,39.28694681254332,33.78740153974238,14.242585735132499,15.429557657441714,32.97544575490996,3.4014483889210054,10.350879414855989,30.07532471798153,15.13774660262202,32.24279726267104,39.01884848465543,39.61291445974559,18.960553641190426,27.515775465642392,41.016788057344975,24.397002184973243
JD,14.207844718972577,34.55451241747152,20.791692976361915,14.327148548314295,11.057650367680544,10.629988482172202,17.618250419781987,10.43831266769265,20.95517812717397,20.01046670073564,11.32922902251792,19.226311513090728,28.685113774231475,0.0,27.58506060512632,21.247268761686755,19.036125540064322,21.66861945539564,12.10350140991912,18.375625142624482,24.01155150406392,13.875070915014106,10.354063751347958,18.805388832156623,20.776324306060992,14.198812687586413,20.027867984632593,13.435502463611211,16.579505475547826,11.280997802441991,13.583699086148975,10.299723917039806,19.603887273021098,19.356263922506187,10.50025483653887,10.885174783846143,16.474131433383306,21.9022239559057,10.257474495181821,19.28161241201751,12.233512217892676,17.526815582830082,30.956850913105406,11.550369384301682,19.046665190174288,13.430286394191894,12.313497189440934,9.839224356500905,13.53579761812878,11.726002585340321,16.88975766732398,17.604318346424634,18.07122708117295,19.079600149596995,13.274183842098171,19.759632856655777,14.98579446366469
TS,28.42579811647036,77.91656007009911,40.851396704333375,20.138487175919895,17.665703670771368,26.960122158036384,27.631144402807458,10.08629294747969,47.67652726075767,50.772761805005445,20.724131645500474,37.45849726966106,1.810102064036809,27.58482564245158,0.0,35.10576432685795,35.50241469281703,39.300500816660026,31.393675019175358,38.3795889079423,2.3269815052189955,32.79165950675643,13.871590455554157,45.25952622317454,31.833356333704174,28.037603148141038,47.55708766751376,33.490234512915414,34.42460284322612,8.937753275496817,26.94691150000566,9.794573481994123,41.94674719659512,48.04535817863519,9.778506391033073,11.672334783287578,26.027835906406917,50.344650442282244,8.769993947429985,34.20442211308693,16.58215961557532,44.475658303964096,38.52495914579237,9.45383553727475,18.30177144050635,30.24627382508022,2.8937641256758027,8.746488936367872,20.73395622945243,12.692153313304697,30.617207043162004,40.443801566896774,42.166715159897564,21.05549219014604,14.067855395816002,40.87931368099372,23.439054617777447
CF,19.526943997736375,39.71245111167748,23.093006716085753,29.143776770385024,20.69579047849347,18.974093374161416,24.436672214958087,18.05537596850438,24.310614813199724,29.49092422871636,18.153096655129673,23.602396601568064,32.364638874712334,21.157584558790294,35.153670407577124,0.0,19.381000415605886,20.672905288992933,22.25112215155248,20.174218158157856,29.33674805578677,22.569190692122113,18.482555342826522,25.752251835207094,19.67420176891268,22.628579565068335,23.50972760135394,22.934805886132757,18.967736688510218,16.331960296353166,19.377880031139068,17.742864937798508,22.800779210658725,23.970891996097457,18.849996629566363,22.16185314429203,23.807539189767706,30.482445424885587,16.98020790584303,20.30957774060578,17.761914483079405,25.28378183973301,28.350746448220235,21.627565263339946,18.755393248017214,27.89064078371014,18.590213819366813,18.085380172549947,25.693854067453465,19.152338154376007,26.277116751666238,22.12682282076239,22.438019850370832,18.619105076626326,30.136416926760734,25.796503673680377,21.66845297604756
A,17.830424419714376,38.03449933969993,21.020861231455733,23.445291590943427,18.625057039910487,17.463096499296032,21.96619887430791,15.859823697496802,23.87247685384001,28.20820292113777,16.66658792134377,19.58991846608092,32.55075589884331,18.110456069314296,35.519267802300405,19.59281031233717,0.0,17.481168745745734,20.061270824850613,16.95881504970754,27.485138861141984,24.2082719787873,18.808257542318632,24.806796303780164,18.130496633289468,19.030206616774,22.46001693752938,21.494779228375116,17.61858501134874,16.5634054304629,19.447282377761066,18.26069544197726,23.914373755729883,23.289168273804012,17.839802845949162,19.105923989332034,23.19769703974128,31.147399381876546,16.620077780338974,16.71082091180635,15.41421038738535,20.693089929040084,28.462254198438693,19.83556476881887,19.530258617918584,23.4211252674321,18.179355403833767,16.702201247088503,27.299497958873218,18.68676831329323,27.568813147325262,22.79228336703663,21.228693373268097,18.344307396295676,25.956063512397474,26.896138348837592,21.580399148013154
M,18.394814165952393,35.95795661392016,20.390899674017863,26.12273009468061,18.025528490084692,16.459034717180757,21.670256176385042,16.966545225289828,23.208302644833633,27.63419535544109,16.370575026167803,20.51564774993336,32.41135060909679,21.678072015313425,39.30241343782065,20.59378177193042,16.99004305320288,0.0,18.009850151954918,16.691809849018174,27.89437701674653,21.146168012688985,20.200836077220995,25.053344257311952,19.77355117036105,21.448583441153207,21.932559421582702,19.853125875188507,20.04177152359239,17.452297767210275,19.697667122117863,17.332254286957852,22.330657262772416,24.77122217211678,18.843592614292312,19.94736049636566,25.040949494884828,31.118375898850253,17.64683902632636,19.515391194538157,16.58282852454687,20.5565266701224,30.757828339569848,20.900195333154308,20.85307510979402,24.416658128427336,19.031573201423072,17.61059469171468,22.203063825764165,19.879816859443523,26.29649248698583,25.42161450471416,21.427410212271397,19.838184733672325,25.087231208460974,29.390182794407348,21.098658023459105
RM,13.905137872914558,31.058377097765426,18.097888231803278,15.43765350727295,12.383946267934778,10.990879448897909,16.26764882766918,11.350409130451915,21.555668517409966,22.546360238983564,11.674578385896666,20.30763013280415,31.008787150102712,12.818759567281607,31.393675019175358,22.195896477717252,20.090932109113282,17.825400531672063,0.0,19.823259551309018,24.843655046848447,14.0370878157771,10.92111974069999,17.868474940500686,20.89927435003501,15.287949669594472,19.17669133349507,14.724499745229341,16.28803839092884,12.844656481744506,13.96287916527816,11.706128779108264,16.785473923846258,20.803369489990768,11.802294229438301,12.802726117592465,15.448786746991443,21.43804426044324,10.840062597329116,20.015010649957944,11.783845420358668,18.81384729813783,30.93768813545097,12.969729412157209,19.993987506136534,15.055315681841543,13.60184107497908,10.911706002798358,14.960301558063772,12.285225167531692,16.01741704252428,18.05353902408527,17.447122912021364,19.966881809379203,14.585619184426267,19.633527809615533,14.649425486368376
Y,18.648398053871883,37.51536400928418,20.484345089783126,25.157880647909487,17.73931937882426,16.830743737881516,21.986658388463596,16.173953299346838,23.93855585846695,28.12788886934672,16.558002936883565,19.936618813323484,31.517971398563066,18.42612827400844,38.38665857358793,21.04331821181837,17.3207665109065,16.99490235962355,19.597309723409516,0.0,28.232650090337803,20.81708739742997,18.20885464013707,27.54163856705033,18.262932058170474,19.493229378397515,21.100192004744642,19.539756310267624,18.6738136883875,17.034174530731693,17.36794630464171,17.653637093527426,22.937548669163714,21.88414817235057,17.102945060776637,17.89332609123364,20.63666261448171,31.61607547602061,16.656054294547523,15.181193933511132,15.683676555964086,19.492753190988232,28.34272494994196,20.98347840519667,20.3475178024736,21.5964764511399,18.4209933813073,17.233165654158185,22.742773465448533,18.673450555570923,26.980541619778542,23.505419482117208,23.277658458726,19.687987721432908,24.389178442551078,28.132018279509,21.242701405362062
